EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,BusinessTravel,DistanceFromHome,MonthlyIncome,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,NumCompaniesWorked,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,OverTime,Attrition
1001,47,Female,Single,Research & Development,Manager,Technical Degree,Non-Travel,16,14082.0,23,14,6,8,1,1,1.0,2,2,3,No,1
1002,41,Male,Married,Research & Development,Manufacturing Director,Marketing,Travel_Rarely,12,10981.0,22,3,1,4,5,3,2.0,1,4,4,No,0
1003,59,Male,Married,Research & Development,Manager,Life Sciences,Travel_Rarely,4,14040.0,19,11,4,5,1,1,4.0,1,3,4,No,0
1004,50,Female,Married,Research & Development,Manager,Life Sciences,Travel_Frequently,5,12332.0,15,1,1,3,0,1,1.0,4,1,3,Yes,1
1005,20,Male,Single,Sales,Manager,Technical Degree,Travel_Rarely,24,11946.0,20,0,0,8,3,4,1.0,1,4,3,Yes,1
1006,35,Female,Married,Human Resources,Human Resources,Technical Degree,Non-Travel,22,5561.0,18,6,4,0,3,3,2.0,2,1,3,No,0
1007,31,Male,Married,Research & Development,Manufacturing Director,Technical Degree,Travel_Rarely,18,9929.0,23,1,1,2,3,3,3.0,1,2,3,No,0
1008,43,Male,Single,Research & Development,Laboratory Technician,Life Sciences,Travel_Frequently,25,4524.0,14,8,2,8,0,1,4.0,3,3,3,No,1
1009,30,Male,Married,Sales,Sales Representative,Technical Degree,Travel_Rarely,3,4855.0,11,4,1,4,2,1,3.0,3,3,3,Yes,0
1010,58,Female,Married,Research & Development,Manager,Life Sciences,Travel_Rarely,20,12621.0,12,1,1,1,5,4,2.0,2,2,3,Yes,0
1011,31,Male,Married,Research & Development,Laboratory Technician,Life Sciences,Non-Travel,22,2762.0,13,3,2,3,0,4,4.0,4,4,3,No,0
1012,40,Female,Married,Human Resources,Manager,Marketing,Travel_Rarely,6,12217.0,20,8,6,2,4,4,1.0,2,4,3,Yes,0
1013,24,Female,Divorced,Research & Development,Research Scientist,Technical Degree,Travel_Frequently,16,4261.0,13,2,1,4,0,4,4.0,3,4,3,No,0
1014,56,Female,Single,Research & Development,Manufacturing Director,Technical Degree,Travel_Rarely,23,10946.0,12,6,3,2,1,1,2.0,2,2,3,No,1
